carat,cut,clarity,depth,table,price,E,F,G,H,I,J,cube
0.23,2,3,61.5,55.0,326,1,0,0,0,0,0,38.20203
0.21,3,2,59.8,61.0,326,1,0,0,0,0,0,34.505856
0.23,1,4,56.9,65.0,327,1,0,0,0,0,0,38.076885
0.29,3,5,62.4,58.0,334,0,0,0,0,1,0,46.72458
0.31,1,3,63.3,58.0,335,0,0,0,0,0,1,51.917249999999996
0.24,4,7,62.8,57.0,336,0,0,0,0,0,1,38.693951999999996
0.24,4,6,62.3,57.0,336,0,0,0,0,1,0,38.830870000000004
0.26,4,2,61.9,55.0,337,0,0,0,1,0,0,42.321081
0.22,0,5,65.1,61.0,337,1,0,0,0,0,0,36.425214000000004
0.23,4,4,59.4,61.0,338,0,0,0,1,0,0,38.718
0.3,1,2,64.0,55.0,339,0,0,0,0,0,1,49.6587
0.23,2,4,62.8,56.0,340,0,0,0,0,0,1,37.70442
0.22,3,2,60.4,61.0,342,0,1,0,0,0,0,34.715136
0.31,2,3,62.2,54.0,344,0,0,0,0,0,1,51.515744999999995
0.2,3,3,60.2,62.0,345,1,0,0,0,0,0,32.262375
0.32,3,0,60.9,58.0,345,1,0,0,0,0,0,51.883728000000005
0.3,2,3,62.0,54.0,348,0,0,0,0,1,0,50.130472
0.3,1,2,63.4,54.0,351,0,0,0,0,0,1,48.99609000000001
0.3,1,2,63.8,56.0,351,0,0,0,0,0,1,48.833658
0.3,4,2,62.7,59.0,351,0,0,0,0,0,1,47.818022
0.3,1,3,63.3,56.0,351,0,0,0,0,1,0,49.64177999999999
0.23,4,5,63.8,55.0,352,1,0,0,0,0,0,37.42816
0.23,4,4,61.0,57.0,353,0,0,0,1,0,0,37.601784
0.31,4,2,59.4,62.0,353,0,0,0,0,0,1,50.952974
0.31,4,2,58.1,62.0,353,0,0,0,0,0,1,51.403212
0.23,4,7,60.4,58.0,354,0,0,1,0,0,0,38.366477
0.24,3,4,62.5,57.0,355,0,0,0,0,1,0,38.635246
0.3,4,5,62.2,57.0,357,0,0,0,0,0,1,49.13868
0.23,4,5,60.5,61.0,357,0,0,0,0,0,0,37.73088
0.23,4,4,60.9,57.0,357,0,1,0,0,0,0,38.236968000000005
0.23,4,4,60.0,57.0,402,0,1,0,0,0,0,38.8492
0.23,4,4,59.8,57.0,402,0,1,0,0,0,0,39.693808
0.23,4,4,60.7,59.0,402,1,0,0,0,0,0,38.525674
0.23,4,4,59.5,58.0,402,1,0,0,0,0,0,39.07343999999999
0.23,4,4,61.9,58.0,402,0,0,0,0,0,0,37.876608
0.23,1,4,58.2,59.0,402,0,1,0,0,0,0,39.258576
0.23,1,4,64.1,59.0,402,1,0,0,0,0,0,36.27393
0.31,1,2,64.0,54.0,402,0,0,0,1,0,0,50.847224999999995
0.26,4,5,60.8,59.0,403,0,0,0,0,0,0,43.295616
0.33,2,3,61.8,55.0,403,0,0,0,0,1,0,56.294722
0.33,2,3,61.2,56.0,403,0,0,0,0,1,0,55.563750000000006
0.33,2,2,61.1,56.0,403,0,0,0,0,0,1,56.385419999999996
0.26,1,5,65.2,56.0,403,0,0,0,0,0,0,41.863878
0.26,1,4,58.4,63.0,403,0,0,0,0,0,0,43.703376000000006
0.32,1,3,63.1,56.0,403,0,0,0,1,0,0,52.155950000000004
0.29,3,2,62.4,58.0,403,0,1,0,0,0,0,47.865359999999995
0.32,4,3,61.8,55.0,403,0,0,0,1,0,0,52.105169999999994
0.32,1,3,63.8,56.0,403,0,0,0,1,0,0,53.280072000000004
0.25,4,5,63.3,60.0,404,1,0,0,0,0,0,40.9448
0.29,4,3,60.7,60.0,404,0,0,0,1,0,0,49.954344000000006
0.24,4,2,60.9,61.0,404,0,1,0,0,0,0,39.691469999999995
0.23,2,4,61.9,54.0,404,0,0,1,0,0,0,37.877340000000004
0.32,2,2,60.9,55.0,404,0,0,0,0,1,0,54.225920000000016
0.22,3,5,61.6,58.0,404,1,0,0,0,0,0,36.843357000000005
0.22,3,5,59.3,62.0,404,0,0,0,0,0,0,35.044548
0.3,2,3,61.0,59.0,405,0,0,0,0,1,0,48.967969999999994
0.3,3,3,59.3,61.0,405,0,0,0,0,0,1,50.64287399999999
